# BUSCO version is: 5.7.1 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2024-01-08, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
39650at2759	Complete	Scaffold0008	330155	407570	+	2174.7	1448	https://v10-1.orthodb.org/?query=39650at2759	DNA polymerase epsilon catalytic subunit
83779at2759	Complete	Scaffold0229	533475	567823	+	260.4	230	https://v10-1.orthodb.org/?query=83779at2759	Asparagine synthase
87842at2759	Complete	Scaffold0288	511516	549744	+	601.1	608	https://v10-1.orthodb.org/?query=87842at2759	Pep3/Vps18/deep orange
97116at2759	Complete	Scaffold0125	577712	550757	-	1238.8	920	https://v10-1.orthodb.org/?query=97116at2759	WD40/YVTN repeat-like-containing domain superfamily
100698at2759	Complete	Scaffold0035	168014	141765	-	853.0	497	https://v10-1.orthodb.org/?query=100698at2759	Helicase, C-terminal
142542at2759	Complete	Scaffold0003	1014994	1037969	+	726.7	648	https://v10-1.orthodb.org/?query=142542at2759	Transcription initiation factor TFIID subunit 2
156083at2759	Complete	Scaffold0050	177591	214579	+	3729.9	1937	https://v10-1.orthodb.org/?query=156083at2759	Pre-mRNA-processing-splicing factor 8
160593at2759	Complete	Scaffold0058	231787	170148	-	1528.8	1284	https://v10-1.orthodb.org/?query=160593at2759	Translational activator Gcn1
166920at2759	Complete	Scaffold0186	206106	279365	+	772.3	774	https://v10-1.orthodb.org/?query=166920at2759	Condensin complex subunit 1
176625at2759	Missing
179362at2759	Complete	Scaffold0124	345669	299989	-	597.6	720	https://v10-1.orthodb.org/?query=179362at2759	Rad50/SbcC-type AAA domain
245208at2759	Complete	Scaffold0233	503558	452054	-	1549.3	844	https://v10-1.orthodb.org/?query=245208at2759	Splicing factor 3B subunit 1
257318at2759	Complete	Scaffold0095	969366	961796	-	340.3	313	https://v10-1.orthodb.org/?query=257318at2759	digestive organ expansion factor homolog
261328at2759	Duplicated	Scaffold0642	25120	3465	-	433.9	408	https://v10-1.orthodb.org/?query=261328at2759	WD40 repeat
261328at2759	Duplicated	Scaffold0198	617968	601500	-	410.3	395	https://v10-1.orthodb.org/?query=261328at2759	WD40 repeat
261419at2759	Duplicated	Scaffold0285	390679	434871	+	355.7	440	https://v10-1.orthodb.org/?query=261419at2759	Ribosome control protein 1
261419at2759	Duplicated	Scaffold0346	173584	141168	-	351.7	430	https://v10-1.orthodb.org/?query=261419at2759	Ribosome control protein 1
270107at2759	Complete	Scaffold0001	2640913	2648860	+	633.4	600	https://v10-1.orthodb.org/?query=270107at2759	GPI ethanolamine phosphate transferase 1
271586at2759	Missing
290630at2759	Complete	Scaffold0139	969217	914431	-	700.1	546	https://v10-1.orthodb.org/?query=290630at2759	WD40 repeat
293315at2759	Complete	Scaffold0093	1241934	1314056	+	685.1	599	https://v10-1.orthodb.org/?query=293315at2759	DNA polymerase
296129at2759	Complete	Scaffold0256	527467	484133	-	1111.6	696	https://v10-1.orthodb.org/?query=296129at2759	RNA cytidine acetyltransferase
299766at2759	Complete	Scaffold0106	929561	893815	-	496.3	435	https://v10-1.orthodb.org/?query=299766at2759	DNA polymerase, Y-family, little finger domain
306227at2759	Missing
320059at2759	Complete	Scaffold0018	673851	701735	+	894.6	451	https://v10-1.orthodb.org/?query=320059at2759	Radical SAM
324863at2759	Duplicated	Scaffold0072	1439116	1463911	+	667.4	567	https://v10-1.orthodb.org/?query=324863at2759	RuvA domain 2-like
324863at2759	Duplicated	Scaffold1106	59319	80939	+	690.2	566	https://v10-1.orthodb.org/?query=324863at2759	RuvA domain 2-like
324863at2759	Duplicated	Scaffold0447	161368	181834	+	690.0	566	https://v10-1.orthodb.org/?query=324863at2759	RuvA domain 2-like
324863at2759	Duplicated	Scaffold0447	395991	415815	+	686.6	566	https://v10-1.orthodb.org/?query=324863at2759	RuvA domain 2-like
325552at2759	Complete	Scaffold0260	404875	435631	+	480.2	375	https://v10-1.orthodb.org/?query=325552at2759	WD40 repeat
330169at2759	Duplicated	Scaffold0468	249464	215155	-	353.0	320	https://v10-1.orthodb.org/?query=330169at2759	Mannosyltransferase
330169at2759	Duplicated	Scaffold0099	134652	121579	-	341.0	320	https://v10-1.orthodb.org/?query=330169at2759	Mannosyltransferase
331411at2759	Complete	Scaffold0858	171905	141797	-	407.5	400	https://v10-1.orthodb.org/?query=331411at2759	Tetratricopeptide-like helical domain superfamily
341721at2759	Complete	Scaffold0069	478334	461430	-	334.5	375	https://v10-1.orthodb.org/?query=341721at2759	Nucleolar complex-associated protein 3
345441at2759	Complete	Scaffold0009	1630421	1619709	-	462.5	379	https://v10-1.orthodb.org/?query=345441at2759	Phosphoacetylglucosamine mutase
355408at2759	Complete	Scaffold0080	972953	994599	+	813.5	553	https://v10-1.orthodb.org/?query=355408at2759	Tetratricopeptide repeat-containing domain
369837at2759	Missing
375960at2759	Missing
